iter	Passed	Remaining
694	7651	1354
695	7664	1343
696	7689	1334
697	7735	1329
698	7780	1324
699	7827	1319
700	7844	1309
701	7863	1299
702	7894	1291
703	7933	1284
704	7953	1274
705	7983	1266
706	8003	1256
707	8024	1246
708	8076	1241
709	8101	1232
710	8127	1223
711	8154	1213
712	8174	1203
713	8195	1193
714	8212	1182
715	8226	1171
716	8241	1160
717	8254	1149
718	8269	1138
719	8283	1127
720	8297	1116
721	8317	1105
722	8337	1095
723	8354	1084
724	8373	1074
725	8395	1063
726	8412	1053
727	8427	1041
728	8438	1030
729	8455	1019
730	8480	1009
731	8501	998
732	8514	987
733	8527	975
734	8539	964
735	8555	953
736	8582	943
737	8601	932
738	8620	921
739	8635	910
740	8650	898
741	8688	889
742	8707	878
743	8719	867
744	8730	855
745	8743	843
746	8756	832
747	8776	821
748	8820	812
749	8841	801
750	8857	790
751	8877	779
752	8898	768
753	8919	757
754	8979	749
755	9002	738
756	9034	728
757	9047	716
758	9062	704
759	9084	693
760	9109	682
761	9122	670
762	9134	658
763	9148	646
764	9164	634
765	9182	623
766	9201	611
767	9236	601
768	9261	590
769	9286	578
770	9301	567
771	9326	555
772	9345	544
773	9367	532
774	9381	520
775	9397	508
776	9432	497
777	9466	486
778	9512	476
779	9563	465
780	9596	454
781	9747	448
782	9871	441
783	9915	429
784	9928	417
785	9942	404
786	9962	392
787	10008	381
788	10051	369
